,subject,predicate,object
0,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#narrower,http://www.w3.org/2004/02/skos/core#Concept
2,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2002/07/owl#inverseOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
3,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Geochronology/rankInOrderedList,http://www.w3.org/2004/02/skos/core#OrderedCollection
4,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/EarthMaterialClass/hasComponentRank,http://www.w3.org/2004/02/skos/core#Concept
5,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Lexicon/hasStratotype,http://www.w3.org/2004/02/skos/core#Concept
6,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Lexicon/hasYoungestAge,http://www.w3.org/2004/02/skos/core#Concept
7,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/EarthMaterialClass/subClassMain,http://www.w3.org/2004/02/skos/core#Concept
8,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/EarthMaterialClass/isComponentPartOf,http://www.w3.org/2004/02/skos/core#Concept
10,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Lexicon/hasEquivalenceType,http://www.w3.org/2004/02/skos/core#Concept
14,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/EarthMaterialClass/componentRock,http://www.w3.org/2004/02/skos/core#Concept
16,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Lexicon/hasDefinitionStatus,http://www.w3.org/2004/02/skos/core#Concept
17,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Geochronology/hasGeochronologyRank,http://www.w3.org/2004/02/skos/core#Concept
18,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Lexicon/hasRockUnitRank,http://www.w3.org/2004/02/skos/core#Concept
19,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Lexicon/hasShapeType,http://www.w3.org/2004/02/skos/core#Concept
20,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Lexicon/hasSourceInfo,http://www.w3.org/2004/02/skos/core#Concept
22,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Lexicon/hasTheme,http://www.w3.org/2004/02/skos/core#Concept
24,http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/isPartOf,http://www.w3.org/2004/02/skos/core#ConceptScheme
25,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Lexicon/hasUnitClass,http://www.w3.org/2004/02/skos/core#Concept
26,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Lexicon/hasSpatialScopeOfDefinition,http://www.w3.org/2004/02/skos/core#Concept
30,http://www.w3.org/2004/02/skos/core#ConceptScheme,http://purl.org/dc/terms/isPartOf,http://www.w3.org/2004/02/skos/core#ConceptScheme
31,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/EarthMaterialClass/subClassTAS,http://www.w3.org/2004/02/skos/core#Concept
32,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Lexicon/isLexiconEntry,http://www.w3.org/2004/02/skos/core#Concept
33,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#broader,http://www.w3.org/2004/02/skos/core#Concept
34,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/EarthMaterialClass/subClassUDCS,http://www.w3.org/2004/02/skos/core#Concept
35,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme
36,http://www.w3.org/2004/02/skos/core#ConceptScheme,http://purl.org/dc/terms/hasPart,http://www.w3.org/2004/02/skos/core#ConceptScheme
37,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Geochronology/start,http://www.w3.org/2004/02/skos/core#Concept
38,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/EarthMaterialClass/superClassUDCS,http://www.w3.org/2004/02/skos/core#Concept
39,http://www.w3.org/2004/02/skos/core#Concept,http://data.bgs.ac.uk/ref/Lexicon/hasOldestAge,http://www.w3.org/2004/02/skos/core#Concept
